capture_id,product,viewport,page_area,state,source_url,final_url,page_title,filename,absolute_path,captured_at_local,width_px,height_px,file_size_bytes,document_scroll_width,document_scroll_height,auto_scroll_iterations,reached_bottom,popup_action,authentication_state,status,attempt_count,failure_reason,related_pa1_figure,related_pa1_use_case,notes_factual_only
"fifa-41-fifa-plus-documentary-rail","fifa","desktop","FIFA+ rail","Documentary","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-41-fifa-plus-documentary-rail.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-41-fifa-plus-documentary-rail.png","2026-07-30 15:05:27 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-42-fifa-plus-competition-rail","fifa","desktop","FIFA+ rail","Competition","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-42-fifa-plus-competition-rail.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-42-fifa-plus-competition-rail.png","2026-07-30 15:05:46 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","SUCCESS","1","","","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-43-fifa-plus-archive-rail","fifa","desktop","FIFA+ rail","Archive","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-43-fifa-plus-archive-rail.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-43-fifa-plus-archive-rail.png","2026-07-30 15:06:04 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","SUCCESS","1","","","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-44-footer","fifa","desktop","footer","default","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-44-footer.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-44-footer.png","2026-07-30 15:06:41 +07:00","1440","9004","4750428","1440","9004","16","true","Reject All","PUBLIC","SUCCESS","1","","F-09B","","Popup action: Reject All."
"fifa-45-footer-ecosystem-navigation","fifa","desktop","footer ecosystem navigation","default","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-45-footer-ecosystem-navigation.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-45-footer-ecosystem-navigation.png","2026-07-30 15:07:28 +07:00","1440","9004","4775726","1440","9004","16","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","F-09B","","Popup action: Reject All."
"fifa-46-store-page","fifa","desktop","Store","public landing","https://store.fifa.com/","https://store.fifa.com/","Official FIFA Store - The Home of Official FIFA World Cup 2026 Jerseys – FIFA Official Store","fifa-46-store-page.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-46-store-page.png","2026-07-30 15:07:58 +07:00","1440","6026","3015861","1430","6026","6","true","Accept Cookies","PUBLIC","SUCCESS","1","","F-09B","","Popup action: Accept Cookies."
"fifa-47-collect-page","fifa","desktop","Collect","public landing","https://collect.fifa.com/","https://collect.fifa.com/","FIFA Collect - FIFA's Official digital collectibles platform","fifa-47-collect-page.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-47-collect-page.png","2026-07-30 15:08:33 +07:00","1440","7187","4566050","1440","7187","8","true","Reject All","PUBLIC","SUCCESS","1","","F-09B","","Popup action: Reject All."
"fifa-48-rewards-page","fifa","desktop","Rewards","public landing","https://www.fifa.com/en/rewards","https://www.fifa.com/en/rewards","Home | FIFA Rewards","fifa-48-rewards-page.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-48-rewards-page.png","2026-07-30 15:09:02 +07:00","1440","3673","430561","1440","3673","10","true","Reject All","PUBLIC","SUCCESS","1","","F-09B","","Popup action: Reject All."
"fifa-53-promotional-popup","fifa","desktop","promotional popup","naturally appeared","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","FIFA World Cup 2026™","fifa-53-promotional-popup.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-53-promotional-popup.png","2026-07-30 15:09:35 +07:00","1440","11554","6541775","1440","11554","20","true","Retained before screenshot: reject all","PUBLIC","SUCCESS","1","","F-07","","Popup action: Retained before screenshot: reject all."
"fifa-54-cookie-banner","fifa","desktop","cookie banner","naturally appeared","https://www.fifa.com/en","https://www.fifa.com/en","FIFA | The Home of Football","fifa-54-cookie-banner.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-54-cookie-banner.png","2026-07-30 15:10:10 +07:00","1440","9004","4654850","1440","9004","16","true","Retained before screenshot: reject all","PUBLIC","SUCCESS","1","","","","Popup action: Retained before screenshot: reject all."
